ID,Sexo,Idoso,Casado,Dependentes,TempoContrato,Telefone,LinhasMultiplas,Internet,AntiVirus,Backup,Seguro,Suporte,TV,Filmes,TipoContrato,ContaDigital,MetodoPagto,CustoMensal,CustoTotal,ClasseTempoContrato,Churn,ChurnProb
7024-OHCCK,Feminino,True,False,False,2,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,93.85,170.85,Classe_00_12,True,0.9148617590185637
4424-TKOPW,Masculino,True,False,False,2,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,93.85,196.75,Classe_00_12,True,0.9129395285222803
5150-ITWWB,Masculino,True,False,False,3,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,94.85,335.75,Classe_00_12,True,0.9109554658656351
0295-PPHDO,Masculino,False,False,False,1,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,95.45,95.45,Classe_00_12,True,0.909297483395525
7577-SWIFR,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,89.25,89.25,Classe_00_12,True,0.9035225560457157
6496-SLWHQ,Masculino,True,False,False,3,True,True,Fibra,False,True,True,False,True,True,Mensal,True,Conta Eletronica,105.0,294.45,Classe_00_12,True,0.9028750219470845
2446-BEGGB,Feminino,True,False,False,6,True,True,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,98.25,560.6,Classe_00_12,True,0.8984308610227015
0781-LKXBR,Masculino,True,False,False,9,True,True,Fibra,False,False,True,False,True,True,Mensal,True,Conta Eletronica,100.5,918.6,Classe_00_12,True,0.8938185774561317
1069-XAIEM,Feminino,True,False,False,1,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,85.05,85.05,Classe_00_12,True,0.8931215287484985
4273-MBHYA,Feminino,False,False,True,1,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,89.35,89.35,Classe_00_12,True,0.8922903090301814
3319-DWOEP,Masculino,True,True,False,6,True,False,Fibra,False,False,True,False,True,True,Mensal,True,Conta Eletronica,95.75,573.75,Classe_00_12,True,0.8918434756456947
2656-TABEH,Masculino,False,True,False,4,True,True,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,100.2,420.2,Classe_00_12,True,0.8916777645460687
7943-RQCHR,Feminino,False,False,False,9,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,94.75,889.9,Classe_00_12,True,0.8904756676103737
4695-WJZUE,Feminino,True,False,False,2,True,True,Fibra,False,False,True,False,False,True,Mensal,True,Conta Eletronica,88.55,179.25,Classe_00_12,True,0.8886682331893149
5277-ZLOOR,Feminino,True,False,False,2,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,85.55,187.45,Classe_00_12,True,0.8869726263171868
